ID,ID
"Customer Name","Customer Name"
"Customer Email","Customer Email"
"Customer Group","Customer Group"
Phone,Phone
ZIP,ZIP
Country,Country
State/Province,State/Province
"Customer Since","Customer Since"
"Web Site","Web Site"
"Confirmed email","Confirmed email"
"Account Created in","Account Created in"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Tax VAT Number","Tax VAT Number"
Gender,Gender
"Street Address","Street Address"
City,City
Fax,Fax
"VAT Number","VAT Number"
Company,Company
"Billing Firstname","Billing Firstname"
"Billing Lastname","Billing Lastname"
"Account Lock","Account Lock"
Transaction,Transaction
"Prefered Action","Prefered Action"
"Enter Reward Points.","Enter Reward Points."
"Note Message","Note Message"
"Enter your message which you want to show for this transaction.","Enter your message which you want to show for this transaction."
Customers,Customers
"Add Customer","Add Customer"
"Add Selected Customers","Add Selected Customers"
"Add Customers","Add Customers"
Customer,Customer
Magento_Ui/js/dynamic-rows/record,Magento_Ui/js/dynamic-rows/record
"Add New Rule","Add New Rule"
Delete,Delete
"Delete items","Delete items"
"Are you sure you want to delete selected rule(s)?","Are you sure you want to delete selected rule(s)?"
"Update Attribute Rule","Update Attribute Rule"
Id,Id
"Option Label","Option Label"
"Created At","Created At"
"Add New Cart Rule","Add New Cart Rule"
"Are you sure you want to delete selected cart rules?","Are you sure you want to delete selected cart rules?"
"Update Cart Rule","Update Cart Rule"
"Start Date","Start Date"
"Add New Transaction","Add New Transaction"
"Customer Id","Customer Id"
"Total Reward Points","Total Reward Points"
"Remaining Reward Points","Remaining Reward Points"
"Used Reward Points","Used Reward Points"
"Transaction At","Transaction At"
Action,Action
Note,Note
"My Reward Points","My Reward Points"
